capability_id,name,home_om,prompt,artifact,status
C01,Consulting judgement,1,SDD-01,Charter + every SCQA,specced
C02,Stakeholder discovery,1,SDD-01,Stakeholder / affected-groups maps,specced
C03,Problem framing and qualification,3,"SDD-04, SDD-05",SCQA + use-case card,specced
C04,Current-state / brownfield assessment,2,SDD-02,Brownfield assessment + C4 as-is,specced
C05,Baseline KPI definition (Before),3,SDD-04,Baseline dataset + KPI tree,specced
C06,Process discovery and process mining,2,SDD-02,"SIPOC, VSM, **event mining**",specced
C07,Root-cause analysis,3,"SDD-03, SDD-04",RCA from 96 forensic cells,specced
C08,No-AI / conventional-automation alternative,4,SDD-05,Non-AI alternative,specced
C09,AI intervention justification,4,SDD-05,Suitability + go/no-go,specced
C10,Product judgement,4,"SDD-05, SDD-09, PRD-01",Use-case + selected solution + PRD,evidenced
C11,User journey and service-design thinking,4,"SDD-05, PRD-01","**Journeys** (SOC, process, safety, exec)",evidenced
C12,Business-value engineering,3,"SDD-04, SDD-09, REL-03",Value hypothesis + trade-off + benefits,specced
C13,Benefits hypothesis and value-tree design,3,SDD-04,KPI / value tree,specced
C14,Process improvement / DMAIC,2,"SDD-02/04, REL-03/04",Define-Measure-Analyse-Improve-Control,specced
C15,Domain modelling / DDD,5,SDD-06,DOMAIN.md,specced
C16,Requirements engineering,13,"SDD-14, PRD-01",Delivery spec + FR-###,evidenced
C17,Requirements-to-evidence traceability,13,SDD-14,TRACEABILITY.csv,specced
C18,"Constraint, assumption and dependency management",2,"SDD-02, SDD-14",Dependencies + OPEN_DECISIONS,specced
C19,Data engineering,6,"SDD-07, SDD-10, ENH",Inventories + pipelines,specced
C20,"Data quality, contracts, lineage, provenance",6,"SDD-07, SDD-10",Quality profile + data contracts,specced
C21,Knowledge engineering,5–6,"SDD-06, SDD-07, SDD-10",Glossary → knowledge inventory → semantic,specced
C22,"Taxonomy, ontology and semantic modelling",5,"SDD-06, SDD-10",Glossary + ontology,specced
C23,Knowledge graph justification and engineering,8,"SDD-09, SDD-10, ENH-10",**Justify first**; hop_cap 8 graph_slice,evidenced
C24,Context engineering,9,"SDD-10, SDD-11, SDD-12",Retrieval + context snapshots,specced
C25,Enterprise integration,2,"SDD-02, SDD-11",Landscape + integration patterns,specced
C26,"API, event and data-contract engineering",9,"SDD-10, SDD-11, SDD-14",Contracts; read-only API,specced
C27,Brownfield modernization,2,"SDD-02, ENH, REL-02",Preserve evidence; coexist with legacy_*,specced
C28,"Migration, coexistence, cutover, rollback",10,"SDD-11, SDD-14, REL-02",Rollback + shadow/pilot **advisory only**,specced
C29,Architecture,2,"SDD-02, 09, 11, 14",As-is C4 → to-be C4 → approved C4,specced
