asset_id,plant_id,asset_type,vendor,model,firmware,ip_address,zone,protocol,registered_state,observed_state,criticality,owner,backup_age_days
OT-01072,PLT-10,NETWORK_SWITCH,SafeLogic,MDL-62,3.7.8,10.10.3.197,L3_SITE_OPS,PROFINET,ACTIVE,ONLINE,MEDIUM,Vendor,177
OT-01676,PLT-16,IED,ControlWorks,MDL-64,9.4.5,10.16.18.114,L0_FIELD,IEC61850,ACTIVE,ONLINE,CRITICAL,Operations,37
OT-00949,PLT-09,SAFETY_PLC,HistorianX,MDL-39,9.2.8,10.9.8.75,L3_SITE_OPS,IEC104,ACTIVE,ONLINE,MEDIUM,Operations,283
OT-01582,PLT-15,RTU,SensorTech,MDL-54,4.2.2,10.15.15.39,L3_SITE_OPS,VendorSerial,ACTIVE,ONLINE,HIGH,Engineering,223
OT-01626,PLT-15,VFD,ProcessSys,MDL-25,3.9.1,10.15.10.160,L0_FIELD,EtherNetIP,ACTIVE,ONLINE,CRITICAL,Vendor,361
OT-01526,PLT-14,SENSOR,LegacyPLC,MDL-84,4.8.1,10.14.20.144,DMZ,PROFIBUS,ACTIVE,ONLINE,HIGH,Engineering,330
OT-01808,PLT-17,VFD,ProcessSys,MDL-43,6.2.0,10.17.10.186,L1_CONTROL,PROFIBUS,ACTIVE,ONLINE,HIGH,Vendor,178
OT-01654,PLT-15,GATEWAY,ProcessSys,MDL-92,7.2.8,10.15.5.203,DMZ,IEC61850,ACTIVE,INTERMITTENT,HIGH,OT Security,313
OT-01482,PLT-14,DCS_CONTROLLER,LegacyPLC,MDL-72,1.0.5,10.14.7.240,L0_FIELD,PROFINET,ACTIVE,ONLINE,MEDIUM,Unknown,12
OT-00479,PLT-05,PLC,LegacyPLC,MDL-89,4.8.9,10.5.7.226,L0_FIELD,OPC_UA,ACTIVE,ONLINE,CRITICAL,OT Security,119
OT-00008,PLT-01,OPC_SERVER,RemoteAssist,MDL-57,2.9.6,10.1.10.106,DMZ,DNP3,ACTIVE,ONLINE,MEDIUM,Operations,64
OT-00357,PLT-04,RTU,SensorTech,MDL-61,7.3.6,10.4.4.48,DMZ,OPC_DA,ACTIVE,ONLINE,HIGH,OT Security,88
OT-00410,PLT-04,VFD,ProcessSys,MDL-37,3.0.1,10.4.7.99,L1_CONTROL,DNP3,ACTIVE,ONLINE,HIGH,Unknown,155
OT-01832,PLT-17,PLC,SafeLogic,MDL-76,7.4.1,10.17.8.147,DMZ,OPC_DA,UNKNOWN,ONLINE,MEDIUM,Operations,140
OT-01282,PLT-12,GATEWAY,RemoteAssist,MDL-30,4.6.3,10.12.20.121,DMZ,EtherNetIP,ACTIVE,UNSEEN,CRITICAL,Vendor,143
OT-00321,PLT-03,SENSOR,ProcessSys,MDL-78,6.8.3,10.3.13.133,L3_SITE_OPS,EtherNetIP,ACTIVE,ONLINE,HIGH,Vendor,135
OT-00775,PLT-08,NETWORK_SWITCH,MotorDriveCo,MDL-59,2.3.1,10.8.3.166,L0_FIELD,OPC_UA,ACTIVE,UNSEEN,CRITICAL,OT Security,378
OT-01194,PLT-11,OPC_SERVER,NetSwitchCo,MDL-13,3.7.0,10.11.1.155,L0_FIELD,DNP3,UNKNOWN,ONLINE,MEDIUM,Operations,257
OT-00571,PLT-06,SENSOR,ControlWorks,MDL-13,1.6.2,10.6.17.183,L0_FIELD,IEC104,ACTIVE,ONLINE,HIGH,Engineering,404
OT-01609,PLT-15,RTU,ControlWorks,MDL-94,5.4.0,10.15.16.244,L0_FIELD,VendorSerial,ACTIVE,ONLINE,MEDIUM,Engineering,329
OT-00472,PLT-05,SAFETY_PLC,NetSwitchCo,MDL-67,2.7.6,10.5.8.89,DMZ,EtherNetIP,ACTIVE,ONLINE,CRITICAL,Maintenance,103
OT-01235,PLT-12,SAFETY_PLC,FieldLink,MDL-86,2.2.8,10.12.3.219,L1_CONTROL,OPC_UA,ACTIVE,ONLINE,HIGH,Unknown,225
OT-01060,PLT-10,SENSOR,SafeLogic,MDL-46,4.7.9,10.10.10.50,L0_FIELD,IEC104,ACTIVE,ONLINE,HIGH,Operations,130
OT-01749,PLT-16,HISTORIAN,SensorTech,MDL-73,2.7.5,10.16.18.78,L2_SUPERVISORY,OPC_DA,UNKNOWN,ONLINE,HIGH,Operations,104
OT-01044,PLT-10,SAFETY_PLC,FieldLink,MDL-84,7.9.1,10.10.12.189,L3_SITE_OPS,IEC61850,ACTIVE,UNSEEN,CRITICAL,Operations,353
OT-00283,PLT-03,SAFETY_PLC,SensorTech,MDL-93,8.9.5,10.3.13.17,L0_FIELD,VendorSerial,ACTIVE,ONLINE,MEDIUM,Engineering,354
OT-00959,PLT-09,VFD,SensorTech,MDL-80,7.0.2,10.9.2.196,DMZ,IEC104,ACTIVE,ONLINE,HIGH,Maintenance,223
OT-00561,PLT-06,GATEWAY,NetSwitchCo,MDL-76,1.8.1,10.6.7.88,L3_SITE_OPS,PROFINET,UNKNOWN,ONLINE,CRITICAL,Maintenance,281
OT-01928,PLT-18,NETWORK_SWITCH,NetSwitchCo,MDL-24,9.7.9,10.18.14.220,DMZ,IEC61850,ACTIVE,INTERMITTENT,LOW,Maintenance,177
OT-01228,PLT-12,RTU,LegacyPLC,MDL-37,3.3.6,10.12.15.12,DMZ,ModbusTCP,ACTIVE,ONLINE,CRITICAL,Unknown,22
OT-00034,PLT-01,PLC,LegacyPLC,MDL-18,8.3.6,10.1.9.136,L0_FIELD,OPC_DA,ACTIVE,ONLINE,HIGH,Vendor,121
OT-00206,PLT-02,ENG_WORKSTATION,ControlWorks,MDL-31,7.2.2,10.2.13.146,L1_CONTROL,OPC_DA,ACTIVE,ONLINE,CRITICAL,Engineering,198
OT-01244,PLT-12,PLC,RemoteAssist,MDL-79,7.7.2,10.12.14.173,L3_SITE_OPS,PROFINET,ACTIVE,OFFLINE,HIGH,Operations,370
