plant_id,asset_id,risk_owner,decision,expiry,rationale
PLT-08,OT-00749,Engineering,DEFER,2026-02-10,shutdown unavailable
PLT-16,OT-00429,Engineering,ACCEPT,2026-10-18,vendor patch pending
PLT-15,OT-01094,Engineering,ACCEPT,2026-07-17,vendor patch pending
PLT-18,OT-01529,Engineering,DEFER,2026-08-19,business critical
PLT-15,OT-00904,Unknown,ACCEPT,2026-02-11,compensating controls assumed
PLT-16,OT-00242,Engineering,ACCEPT,2026-08-07,shutdown unavailable
PLT-11,OT-01106,Engineering,ACCEPT,2026-04-21,business critical
PLT-02,OT-01510,Plant Manager,DEFER,2026-10-11,shutdown unavailable
PLT-03,OT-01972,Plant Manager,ACCEPT,2026-06-04,business critical
PLT-18,OT-00441,Unknown,DEFER,2026-10-04,vendor patch pending
PLT-17,OT-00553,OT Security,MITIGATE,2026-01-13,vendor patch pending
PLT-14,OT-01930,OT Security,DEFER,2026-11-09,vendor patch pending
PLT-18,OT-00245,Engineering,MITIGATE,2026-05-11,compensating controls assumed
PLT-07,OT-00694,OT Security,DEFER,2026-08-02,business critical
PLT-16,OT-01517,Plant Manager,ACCEPT,2026-11-28,vendor patch pending
PLT-07,OT-00796,Engineering,MITIGATE,2026-07-17,vendor patch pending
PLT-03,OT-00857,OT Security,ACCEPT,2026-10-16,business critical
PLT-15,OT-00625,Engineering,ACCEPT,2026-04-22,vendor patch pending
PLT-01,OT-01627,Engineering,ACCEPT,2026-03-24,shutdown unavailable
PLT-09,OT-01675,OT Security,MITIGATE,2026-03-04,shutdown unavailable
PLT-05,OT-01837,Engineering,ACCEPT,2026-08-17,vendor patch pending
PLT-01,OT-01157,OT Security,MITIGATE,2026-08-20,business critical
PLT-04,OT-00850,Unknown,ACCEPT,2026-02-14,vendor patch pending
PLT-15,OT-00204,OT Security,MITIGATE,2026-10-21,compensating controls assumed
PLT-06,OT-00096,Plant Manager,DEFER,2026-03-01,vendor patch pending
PLT-12,OT-01303,Plant Manager,MITIGATE,2026-03-21,compensating controls assumed
PLT-16,OT-01465,Plant Manager,ACCEPT,2026-01-28,shutdown unavailable
PLT-12,OT-01426,Plant Manager,DEFER,2026-08-08,shutdown unavailable
PLT-17,OT-00188,Unknown,MITIGATE,2026-04-09,compensating controls assumed
PLT-13,OT-00120,Plant Manager,DEFER,2026-10-20,compensating controls assumed
PLT-07,OT-00092,Engineering,ACCEPT,2026-01-03,shutdown unavailable
PLT-07,OT-01662,Unknown,ACCEPT,2026-10-26,business critical
PLT-02,OT-01592,OT Security,MITIGATE,2026-02-27,business critical
PLT-04,OT-00930,Plant Manager,DEFER,2026-03-06,compensating controls assumed
PLT-10,OT-01342,Unknown,ACCEPT,2026-06-05,compensating controls assumed
PLT-12,OT-00639,OT Security,ACCEPT,2026-06-19,shutdown unavailable
PLT-17,OT-01838,OT Security,ACCEPT,2026-07-19,shutdown unavailable
PLT-11,OT-01967,Plant Manager,ACCEPT,2026-03-06,compensating controls assumed
PLT-01,OT-00614,Plant Manager,ACCEPT,2026-10-15,shutdown unavailable
PLT-06,OT-01966,Engineering,ACCEPT,2026-10-11,compensating controls assumed
PLT-06,OT-01818,OT Security,ACCEPT,2026-02-25,shutdown unavailable
PLT-05,OT-01955,Unknown,MITIGATE,2026-08-28,business critical
PLT-04,OT-00034,Plant Manager,MITIGATE,2026-06-15,business critical
PLT-17,OT-01076,Unknown,DEFER,2026-03-28,shutdown unavailable
PLT-03,OT-01510,OT Security,MITIGATE,2026-10-13,business critical
PLT-07,OT-00756,Plant Manager,DEFER,2026-04-22,shutdown unavailable
PLT-15,OT-00899,OT Security,DEFER,2026-05-01,vendor patch pending
PLT-13,OT-00973,Plant Manager,DEFER,2026-07-09,compensating controls assumed
PLT-09,OT-01135,Engineering,DEFER,2026-01-01,vendor patch pending
