unit_id,plant_id,unit_type,production_criticality,safe_state,manual_mode_supported
PLT-01-U01,PLT-01,TREATMENT,HIGH,STOPPED,YES
PLT-01-U02,PLT-01,FURNACE,HIGH,RECIRCULATE,YES
PLT-01-U03,PLT-01,FILLING,HIGH,MIN_LOAD,YES
PLT-01-U04,PLT-01,BOILER,HIGH,ISOLATED,YES
PLT-01-U05,PLT-01,PUMP_TRAIN,CRITICAL,RECIRCULATE,YES
PLT-01-U06,PLT-01,TREATMENT,HIGH,RECIRCULATE,YES
PLT-01-U07,PLT-01,FILLING,CRITICAL,STOPPED,NO
PLT-01-U08,PLT-01,SEPARATION,HIGH,ISOLATED,YES
PLT-01-U09,PLT-01,FURNACE,HIGH,MIN_LOAD,LIMITED
PLT-01-U10,PLT-01,TURBINE,HIGH,ISOLATED,YES
PLT-01-U11,PLT-01,TREATMENT,HIGH,RECIRCULATE,YES
PLT-01-U12,PLT-01,REACTOR,CRITICAL,ISOLATED,YES
PLT-02-U01,PLT-02,COMPRESSOR,HIGH,MIN_LOAD,LIMITED
PLT-02-U02,PLT-02,TREATMENT,CRITICAL,STOPPED,YES
PLT-02-U03,PLT-02,PUMP_TRAIN,CRITICAL,ISOLATED,YES
PLT-02-U04,PLT-02,REACTOR,MEDIUM,MIN_LOAD,YES
PLT-02-U05,PLT-02,REACTOR,CRITICAL,RECIRCULATE,NO
PLT-02-U06,PLT-02,PUMP_TRAIN,MEDIUM,STOPPED,YES
PLT-02-U07,PLT-02,FURNACE,HIGH,ISOLATED,YES
PLT-02-U08,PLT-02,SEPARATION,CRITICAL,RECIRCULATE,YES
PLT-02-U09,PLT-02,FURNACE,CRITICAL,ISOLATED,YES
PLT-02-U10,PLT-02,COMPRESSOR,CRITICAL,ISOLATED,YES
PLT-02-U11,PLT-02,TREATMENT,HIGH,RECIRCULATE,YES
PLT-02-U12,PLT-02,COMPRESSOR,HIGH,RECIRCULATE,YES
PLT-03-U01,PLT-03,FURNACE,CRITICAL,MIN_LOAD,YES
PLT-03-U02,PLT-03,TREATMENT,CRITICAL,MIN_LOAD,YES
PLT-03-U03,PLT-03,FILLING,HIGH,RECIRCULATE,LIMITED
PLT-03-U04,PLT-03,SEPARATION,CRITICAL,ISOLATED,NO
PLT-03-U05,PLT-03,BOILER,CRITICAL,MIN_LOAD,YES
PLT-03-U06,PLT-03,REACTOR,HIGH,MIN_LOAD,YES
PLT-03-U07,PLT-03,FILLING,MEDIUM,STOPPED,YES
PLT-03-U08,PLT-03,TURBINE,MEDIUM,STOPPED,YES
PLT-03-U09,PLT-03,FURNACE,HIGH,STOPPED,YES
PLT-03-U10,PLT-03,SEPARATION,HIGH,ISOLATED,YES
PLT-03-U11,PLT-03,REACTOR,HIGH,ISOLATED,LIMITED
PLT-03-U12,PLT-03,PUMP_TRAIN,HIGH,ISOLATED,YES
PLT-04-U01,PLT-04,FILLING,CRITICAL,ISOLATED,YES
PLT-04-U02,PLT-04,TURBINE,CRITICAL,RECIRCULATE,YES
PLT-04-U03,PLT-04,TURBINE,HIGH,MIN_LOAD,NO
PLT-04-U04,PLT-04,TURBINE,HIGH,RECIRCULATE,LIMITED
PLT-04-U05,PLT-04,REACTOR,HIGH,STOPPED,YES
PLT-04-U06,PLT-04,TURBINE,CRITICAL,STOPPED,YES
PLT-04-U07,PLT-04,TURBINE,HIGH,RECIRCULATE,LIMITED
PLT-04-U08,PLT-04,BOILER,HIGH,RECIRCULATE,LIMITED
PLT-04-U09,PLT-04,COMPRESSOR,MEDIUM,STOPPED,YES
PLT-04-U10,PLT-04,FILLING,HIGH,ISOLATED,YES
PLT-04-U11,PLT-04,SEPARATION,CRITICAL,ISOLATED,YES
PLT-04-U12,PLT-04,TURBINE,HIGH,MIN_LOAD,YES
PLT-05-U01,PLT-05,TREATMENT,HIGH,MIN_LOAD,LIMITED
PLT-05-U02,PLT-05,FILLING,HIGH,STOPPED,LIMITED
PLT-05-U03,PLT-05,SEPARATION,CRITICAL,MIN_LOAD,YES
PLT-05-U04,PLT-05,TURBINE,CRITICAL,RECIRCULATE,YES
PLT-05-U05,PLT-05,FILLING,CRITICAL,MIN_LOAD,YES
PLT-05-U06,PLT-05,FILLING,HIGH,MIN_LOAD,YES
PLT-05-U07,PLT-05,FURNACE,HIGH,MIN_LOAD,YES
PLT-05-U08,PLT-05,TREATMENT,HIGH,STOPPED,YES
PLT-05-U09,PLT-05,BOILER,CRITICAL,RECIRCULATE,YES
PLT-05-U10,PLT-05,COMPRESSOR,CRITICAL,STOPPED,YES
PLT-05-U11,PLT-05,TREATMENT,MEDIUM,RECIRCULATE,YES
PLT-05-U12,PLT-05,SEPARATION,CRITICAL,STOPPED,LIMITED
PLT-06-U01,PLT-06,FURNACE,CRITICAL,STOPPED,YES
PLT-06-U02,PLT-06,REACTOR,HIGH,ISOLATED,YES
PLT-06-U03,PLT-06,COMPRESSOR,HIGH,RECIRCULATE,YES
PLT-06-U04,PLT-06,FURNACE,MEDIUM,STOPPED,YES
PLT-06-U05,PLT-06,TURBINE,MEDIUM,MIN_LOAD,YES
PLT-06-U06,PLT-06,REACTOR,HIGH,STOPPED,YES
PLT-06-U07,PLT-06,SEPARATION,HIGH,RECIRCULATE,YES
PLT-06-U08,PLT-06,SEPARATION,CRITICAL,MIN_LOAD,LIMITED
PLT-06-U09,PLT-06,FILLING,CRITICAL,MIN_LOAD,YES
PLT-06-U10,PLT-06,FURNACE,CRITICAL,MIN_LOAD,YES
PLT-06-U11,PLT-06,REACTOR,HIGH,STOPPED,YES
PLT-06-U12,PLT-06,PUMP_TRAIN,CRITICAL,STOPPED,YES
PLT-07-U01,PLT-07,TURBINE,HIGH,STOPPED,YES
PLT-07-U02,PLT-07,FILLING,MEDIUM,ISOLATED,YES
PLT-07-U03,PLT-07,BOILER,HIGH,MIN_LOAD,YES
PLT-07-U04,PLT-07,FURNACE,HIGH,MIN_LOAD,YES
PLT-07-U05,PLT-07,PUMP_TRAIN,CRITICAL,RECIRCULATE,YES
PLT-07-U06,PLT-07,TREATMENT,HIGH,STOPPED,YES
PLT-07-U07,PLT-07,BOILER,HIGH,RECIRCULATE,YES
PLT-07-U08,PLT-07,PUMP_TRAIN,CRITICAL,STOPPED,NO
PLT-07-U09,PLT-07,PUMP_TRAIN,HIGH,STOPPED,YES
PLT-07-U10,PLT-07,TURBINE,CRITICAL,MIN_LOAD,NO
PLT-07-U11,PLT-07,TREATMENT,CRITICAL,STOPPED,YES
PLT-07-U12,PLT-07,PUMP_TRAIN,HIGH,RECIRCULATE,YES
PLT-08-U01,PLT-08,PUMP_TRAIN,CRITICAL,RECIRCULATE,LIMITED
PLT-08-U02,PLT-08,SEPARATION,CRITICAL,MIN_LOAD,YES
PLT-08-U03,PLT-08,TURBINE,HIGH,ISOLATED,YES
PLT-08-U04,PLT-08,FILLING,CRITICAL,MIN_LOAD,YES
PLT-08-U05,PLT-08,REACTOR,CRITICAL,RECIRCULATE,NO
PLT-08-U06,PLT-08,TREATMENT,HIGH,STOPPED,NO
PLT-08-U07,PLT-08,COMPRESSOR,HIGH,RECIRCULATE,LIMITED
PLT-08-U08,PLT-08,FURNACE,HIGH,RECIRCULATE,YES
PLT-08-U09,PLT-08,COMPRESSOR,CRITICAL,MIN_LOAD,YES
PLT-08-U10,PLT-08,SEPARATION,MEDIUM,RECIRCULATE,YES
PLT-08-U11,PLT-08,TURBINE,HIGH,RECIRCULATE,LIMITED
PLT-08-U12,PLT-08,REACTOR,HIGH,MIN_LOAD,YES
PLT-09-U01,PLT-09,TURBINE,HIGH,MIN_LOAD,YES
PLT-09-U02,PLT-09,FILLING,CRITICAL,STOPPED,YES
PLT-09-U03,PLT-09,TREATMENT,MEDIUM,STOPPED,YES
PLT-09-U04,PLT-09,SEPARATION,HIGH,ISOLATED,YES
PLT-09-U05,PLT-09,PUMP_TRAIN,HIGH,ISOLATED,NO
PLT-09-U06,PLT-09,BOILER,HIGH,STOPPED,YES
PLT-09-U07,PLT-09,COMPRESSOR,CRITICAL,ISOLATED,YES
PLT-09-U08,PLT-09,SEPARATION,CRITICAL,ISOLATED,YES
PLT-09-U09,PLT-09,BOILER,CRITICAL,MIN_LOAD,YES
PLT-09-U10,PLT-09,FILLING,HIGH,RECIRCULATE,YES
PLT-09-U11,PLT-09,SEPARATION,HIGH,RECIRCULATE,YES
PLT-09-U12,PLT-09,BOILER,HIGH,RECIRCULATE,YES
PLT-10-U01,PLT-10,REACTOR,HIGH,STOPPED,YES
PLT-10-U02,PLT-10,REACTOR,CRITICAL,MIN_LOAD,YES
PLT-10-U03,PLT-10,SEPARATION,CRITICAL,RECIRCULATE,YES
PLT-10-U04,PLT-10,SEPARATION,CRITICAL,RECIRCULATE,LIMITED
PLT-10-U05,PLT-10,REACTOR,HIGH,ISOLATED,LIMITED
PLT-10-U06,PLT-10,PUMP_TRAIN,HIGH,MIN_LOAD,YES
PLT-10-U07,PLT-10,PUMP_TRAIN,HIGH,MIN_LOAD,LIMITED
PLT-10-U08,PLT-10,BOILER,MEDIUM,ISOLATED,NO
PLT-10-U09,PLT-10,FURNACE,HIGH,ISOLATED,NO
PLT-10-U10,PLT-10,FILLING,HIGH,STOPPED,YES
PLT-10-U11,PLT-10,FURNACE,HIGH,RECIRCULATE,LIMITED
PLT-10-U12,PLT-10,FURNACE,CRITICAL,ISOLATED,LIMITED
PLT-11-U01,PLT-11,TURBINE,HIGH,STOPPED,NO
PLT-11-U02,PLT-11,REACTOR,HIGH,RECIRCULATE,YES
PLT-11-U03,PLT-11,BOILER,HIGH,ISOLATED,LIMITED
PLT-11-U04,PLT-11,FILLING,CRITICAL,MIN_LOAD,YES
PLT-11-U05,PLT-11,FILLING,CRITICAL,MIN_LOAD,NO
PLT-11-U06,PLT-11,TURBINE,CRITICAL,STOPPED,YES
PLT-11-U07,PLT-11,SEPARATION,MEDIUM,STOPPED,YES
PLT-11-U08,PLT-11,COMPRESSOR,HIGH,RECIRCULATE,YES
PLT-11-U09,PLT-11,PUMP_TRAIN,CRITICAL,STOPPED,YES
PLT-11-U10,PLT-11,TURBINE,CRITICAL,ISOLATED,LIMITED
PLT-11-U11,PLT-11,TREATMENT,CRITICAL,RECIRCULATE,YES
PLT-11-U12,PLT-11,BOILER,HIGH,RECIRCULATE,YES
PLT-12-U01,PLT-12,SEPARATION,MEDIUM,ISOLATED,LIMITED
PLT-12-U02,PLT-12,REACTOR,HIGH,ISOLATED,YES
PLT-12-U03,PLT-12,COMPRESSOR,CRITICAL,RECIRCULATE,YES
PLT-12-U04,PLT-12,SEPARATION,CRITICAL,MIN_LOAD,YES
PLT-12-U05,PLT-12,BOILER,HIGH,MIN_LOAD,YES
PLT-12-U06,PLT-12,FURNACE,CRITICAL,MIN_LOAD,YES
PLT-12-U07,PLT-12,FURNACE,HIGH,ISOLATED,YES
PLT-12-U08,PLT-12,SEPARATION,CRITICAL,RECIRCULATE,YES
PLT-12-U09,PLT-12,BOILER,HIGH,MIN_LOAD,YES
PLT-12-U10,PLT-12,TURBINE,MEDIUM,MIN_LOAD,YES
PLT-12-U11,PLT-12,COMPRESSOR,HIGH,RECIRCULATE,YES
PLT-12-U12,PLT-12,SEPARATION,HIGH,STOPPED,YES
PLT-13-U01,PLT-13,SEPARATION,HIGH,ISOLATED,YES
PLT-13-U02,PLT-13,TREATMENT,HIGH,STOPPED,YES
PLT-13-U03,PLT-13,BOILER,CRITICAL,RECIRCULATE,NO
PLT-13-U04,PLT-13,BOILER,MEDIUM,RECIRCULATE,YES
PLT-13-U05,PLT-13,TREATMENT,CRITICAL,STOPPED,YES
PLT-13-U06,PLT-13,COMPRESSOR,CRITICAL,MIN_LOAD,LIMITED
PLT-13-U07,PLT-13,FILLING,MEDIUM,STOPPED,LIMITED
PLT-13-U08,PLT-13,BOILER,CRITICAL,ISOLATED,LIMITED
PLT-13-U09,PLT-13,PUMP_TRAIN,HIGH,RECIRCULATE,YES
PLT-13-U10,PLT-13,TREATMENT,HIGH,RECIRCULATE,YES
PLT-13-U11,PLT-13,FURNACE,CRITICAL,ISOLATED,YES
PLT-13-U12,PLT-13,REACTOR,CRITICAL,RECIRCULATE,YES
